Provinsi,KotaKab,TipeFaskes,NamaFaskes,AlamatFaskes,Latitude,Longitude
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Pintu Rime Uring,Pintu Rime,4.059445,97.463333
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Rerebe,Dusun Ume Paya,4.005921,97.3635
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Da Bu Glang,Tetukah,4.058334,97.356553
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Blang Jerango,Gumpang,4.016129,97.26588
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Cinta Maju,Desa Umelah Kec. Blangpegayon,3.973862,97.316162
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Blang Kejeren Galus,Jl.Blangkejeren-Kutapanjang ,3.996378,97.33819
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Pinding,Pinding,3.895791,97.678
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Kuta Panjang,Jl.H.Djaka No -,4.018231,97.279522
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Rikit Gaib,Jl. Blangkejeren-Takengon Km.2,4.104433,97.255153
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,Kenyaren,Jl. Blangkejeren-Takengon Km.3,4.213911,97.17589
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,dr. Eka Puspita Sari,Jl.Kutalintang No.162,3.997087,97.341683
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,dr. Junaidi,Jalan Terangun Blangkejeren No,4.016536,97.277477
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,dr. Andy Saputra,Jln. Pining,4.016536,97.277477
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Pratama,Poskes Gayo Lues,Jl. Mayor Bahrin ,3.993187,97.339353
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Pratama,Poliklinik Polres Gayo Lues,Blang Kajeren,3.999011,97.332875
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Kampong Paya,Desa Kampong Paya,3.111916,97.368642
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Bukit Gadeng,Desa Bukit Gadeng,2.978997,97.5
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Krueng Luas,Desa Kreung Luas,2.865866,97.746151
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Kuala Ba`U,Jl.Tgk.Syam Kuala Ba'U,3.084216,97.314812
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Kluet Timur,Paya Dapur,3.098422,97.384133
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Blang Kejeren,Desa Kuta Trieng,3.576485,96.974188
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Samadua,Jilatang Kec.Samadua,3.308594,97.147838
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Durian Kawan,Durian Kawan Kec.Kluet Timur,3.08626,97.37727
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Kandang,Suak Bakong Kec. Kluet Selatan,3.055117,97.325284
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Bakongan,Keude Bakongan Kec.Bakongan,2.926797,97.4842
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Seubadeh,Seubadeh Kec. Bakongan Timur,2.898906,97.17684
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Trumon,T. Raja Husen,2.828779,97.625558
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Ladang Rimba,Desa L. Rimba Kec. Trumon Tim.,2.892676,97.652764
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Tapaktuan,Air Berudang Kec. Tapaktuan,3.275357,97.162142
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Lhok Bengkuang,Jl. T. Cut Ali No 221,3.258727,97.197131
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Kluet Utara,Kota Fajar Kec. Kluet Utara,3.094085,97.34
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Ladang Tuha,Ladang Tuha Kec. Pasie Raja,3.194183,97.28
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,Manggamat,Manggamat Kec. Kluet Tengah,3.207703,97.374239
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Utama,Dr.ZULFANSYAH,Jl. T.Ben Mahmud No 06,3.252817,97.17684
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,POSKES IM 10.05 Asel,Jl. Cut Nyak Dhien,3.257627,97.186255
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,Tonkes Yonif 115/Ml,Jl. Ujung Padang Asahan,3.14081,97.312
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,Urkes Polres A.Selatan,T Cut Ali No. 147,3.261061,97.194625
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,Klinik Sehat Pala Medika,Jl. Tapaktuan - Abdya,3.327584,97.127446
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,Klinik Humaira,Jl. H. Habib M. Syarif,3.257759,97.127472
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Apotek,Apotek Ar-Ridha,Jln. T. Cut Ali,3.259044,97.196396
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Apotek,Apotek Edi Farma,Jln. Tapaktuan-Abdya,3.311516,97.147382
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Rumah Sakit,RSU Nurul Hasanah,A.Yani No. 23 Pulo Kemiri ,3.496266,97.8
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Rumah Sakit,Rsudh Sahudin Kutacane,Jl.Kutacane-Blangkejeren Km.3,3.647735,97.6914
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Tanoh Alas,Jl Ngkeran Salim Pipit,3.28405,97.97339
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Deleng Pokhisen,Desa Beriring Naru,3.511924,97.818278
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Louser,Jl. Gajah Mati Km. 10 Tj. Sari,3.11995,97.96338
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Engkeran,Jl Engkeran Salim Pipit,3.42574,97.82549
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Naga Timbul,Jl. Liang Pangi,3.096219,97.963477
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Lawe Perbunga,Jl Kutacane Medan Km 30,3.29832,97.95735
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Kota Kutacane,Jl Ananas Desa Pulonas No 8,3.48629,97.81
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Lawe Sumur,Jl Kelapa Gading Lawe Sumur,3.32571,97.889
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Mamas,Panglima Bedul,3.55585,97.7644
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Lawe Dua,Jl Bandara Alas Leuser,3.42632,97.88
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Uning Sigur-Gur,Aceh Tenggara,3.333,97.8969
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Lawe Sigala-Gala,Aceh Tenggara,3.35033,97.91767
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Gur-Gur Pordomuan,Aceh Tenggara,3.29867,97.93854
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Biak Muli,Aceh Tenggara,3.44316,97.83617
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Suka Makmur,Jalan Lawe Beringin Horas Sema,3.39152,97.9
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Kutambaru,Jl Kutambaru,3.48513,97.83561
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Natam,Kutacane-Blangkejeren Km 10,3.56335,97.99
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,Jambur Lak-Lak,Kutacane Blangkejeren Km 25,3.64224,97.69628
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Utama,dr. Ade Eka Kustiana,Jalan Medan Kutacane,3.478117,97.8146
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Utama,dr. Laila Molisa,Desa Muhajirin,3.504981,97.82
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,Poskes Tni 10.02 Kutacane,Jl. Cut Nyak Dhien,3.485397,97.811254
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,Paur Kes Polres Aceh Tenggara,Jln. Ahmad Yani,3.481097,97.8
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,BP Ar-Rahman,Jalan Kuning I Kec. Bambel,3.44229,97.86468
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,Bp. Liza Medica,Jalan Iskandar Muda No.30,3.474075,97.818928
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Rumah Sakit,RSUD dr. Zubir Mahmud,Jalan Banda Aceh - Medan Km.37,4.961196,97.76267
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Rumah Sakit,RSUD Sultan Abdul Aziz Syah,Jl. Medan Banda Aceh,4.809238,97.893268
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Rumah Sakit,Graha Bunda,Jl Medan Banda Aceh,4.957069,97.762892
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Peureulak Barat,"Jln Medan B.Aceh , Km 385",4.8649,97.8758
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Darul Ihsan,Jln. Padang Peutuali,4.92955,97.75853
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Darul Falah,Jln.Ulee Gajah,5.012631,97.633966
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Idi Timur,Jl. Medan Banda Aceh,4.797856,97.891619
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Simpang Ulim,Simpang Ulim,5.10581,97.533
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Julok,Jln. Medan_ Banda Aceh.,5.06721,97.59485
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Perkebunan Inti,Dusun Al Mujahid,4.92091,97.59
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Alue Ie Mirah, Jln. Kuta Binjei- Ptp I,4.92091,97.59
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Nurussalam,Jln Ulee Ateng-Bagok Desa Mtg ,4.9771,97.66364
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Darul Aman,Jln Medan Banda Aceh Gp Keude ,4.79828,96.94
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Idi Rayeuk,Jln. Banda Aceh - Medan Km.375,4.94441,97.782
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Peureulak, Jln Medan - B.Aceh Desa Alue ,4.9066,97.74432
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Rantau Selamat,jl. Medan-B. Aceh KM. 16,4.04691,96.43722
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Sungai Raya, Jalan Medan- Banda Aceh Km 27,4.66751,97.92323
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Idi Tunong,Jln Titi Ayon. Buket Teukuh ,4.92167,97.72494
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Peudawa,Jln Medan-Banda Aceh,4.88303,97.8
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Peureulak Timur,Jln. Medan-B.Aceh Alue Lhok,4.71176,97.9
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Birem Bayeun,Jl. Medan-B.Aceh Keude Birem,4.53267,97.9474
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Simpang Jernih, Jln Buntul Gayo Simpang Jerni,4.32787,97.75736
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Matang Pudeng,Desa Matang Pudeng,5.08922,97.49214
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Madat,:Jln Sp Ulim Paya Naden,5.10722,97.51558
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Pante Bidari,Desa Meunasah Tunong,5.0614,97.52
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Keude Gerobak,Jln.Idi -Alue Ie Mirah Desa Pa,4.90754,97.69653
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Lokop,Jln Peunaron - Belang Kejeren,4.41929,97.42379
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Peunaron,Jalan Perlak - Lokop,4.58414,97.67724
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,Rantau Peureulak, Jln. Peunarun,4.80555,97.823
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Utama,Dr Yusmardiati,Kede Jurung Nurussalam,5.037695,97.64
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Utama,dr. H. Zulfikry M.M.Kes,Jl Medan Banda Aceh,4.94441,97.782
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Utama,dr. Suwardi,Jalan Medan Banda Aceh,4.94625,97.7755
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Utama,dr. M. ANDI MARDIANSYAH, Dusun Tanjung Mulia,5.02835,97.667193
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Utama,DPP dr. SASILIA,RSU Sultan Abdul Aziz Syah,4.807793,97.886266
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Paurkes Polres Aceh Timur,Banda Aceh Medan No. 1,4.874428,97.846158
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Ibu Ros,Jl Pertamina ,4.80012,97.8
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Baitussyifa,Jln. Medan - Banda Aceh,4.813503,97.896681
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Alfia,Medan-Banda Aceh,4.79828,96.94
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Sehat,Jln. Ranto Peureulak Sp Iii,4.813558,97.896233
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Brandeeh,Medan - Banda Aceh,5.10722,97.51558
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Azkia,Medan-Banda Aceh Jalur Dua ,4.934388,97.783343
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Husfafia,Medan - Banda Aceh,4.738601,97.895299
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Dimas Tanjung,Medan – Banda Aceh,5.073682,97.522773
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Klinik Pratama,Klinik Bersama,Medan - Banda Aceh Km 391,4.798432,97.89214
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Apotek,Apotek Mitra Medika,Medan-Banda Aceh,4.942227,97.778
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,Puskesmas,Lut Tawar,Jl. Pahlawan Bale Atu,4.622412,96.846466
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,Puskesmas,Bies,Jl. Takengon - Angkup,4.604291,96.796123
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,Puskesmas,Jagong Jeget,Jl. Takengon - Isaq,4.375017,96.76
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,Puskesmas,Silih Nara,Jl. Takengon - Blang Mancung,4.625465,96.723374
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,Klinik Pratama,Klinik Polres Aceh Tengah,Jl. Zain Bakti Aspol Takengon,4.547613,96.829
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,Klinik Pratama,Klinik Vinca Rosea Tkn,Jl. Lintang Lr. Kala Pasir,4.639622,96.85
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Suak Ribee,Desa Suak Ribee,4.154203,96.117437
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Johan Pahlawan,Jl.Tgk.Dirundeng No.36,4.152946,96.128749
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Drien Rampak,Jl. Meulaboh - Banda Aceh,4.317368,95.962877
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Kuta Padang Layung,Kuta Padang Layung Kec.Bubon,4.350001,96.183333
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Kuala Bhee,Kuala Bhee Kec.Woyla,4.246014,96.3688
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Tangkeh,Tangkeh Kec.Woyla Timur,4.442461,96.14131
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Peureumeu,Jl. Meulaboh Tutut,4.204981,96.156731
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Meurebo,Jl.Nasional,4.150123,96.152732
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Pante Ceureumen,Pante Cermin Kec.Pante Cermin,4.589101,96.353
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Puskesmas,Meutulang,"Jln Mbo-Tutut, Desa Meutulang,",4.440721,96.29985
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Utama,dr. DR EMMALIANA SUANDY,Jl. Nasional Simp Rundeng ,4.150979,96.1332
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Tonkes Yonif 116/Gs,Jl. Alue Peunyareng,4.143406,96.21111
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Urkes Polres Aceh Barat,Letnan Rajali,4.133403,96.13
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Keumala,Jl. Geurute Jurong Ii Gampong,4.148021,96.125287
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Klinik Ananda Family,Jl Cut Mutia No 34 Ds. Ujong B,4.14899,96.128849
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Klinik Pt. Kts,Jln. Meulaboh- Tutut Km 28.,4.350466,96.164642
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Klinik Cempaka Lima,Jl. Gajah Mada Nomor 23,4.152226,96.1326
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Kia Graha Ummi,Jl. Imam Bonjol No. 27-28,4.160646,96.1242
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Klinik Pratama,Klinik Denkesyah Mbo,Jl. Pocut Baren,4.132481,96.132382
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Apotek,Apotek Kimia Farma Meulaboh,Gajah Mada No.63 Meulaboh,4.154632,96.13
Nanggroe Aceh Darussalam,Kab.Aceh Barat,Apotek,Apotik Jeumpa,Jl. Gajah Mada,4.155013,96.13
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Rumah Sakit,RSUD Aceh Besar,Jl.Banda Aceh-Medan Km.25 Indr,5.28387,95.63125
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Piyeung,Desa Piyeung,5.451192,95.441767
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Lampupok,Desa Lampupok,5.43696,95.43913
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Ie Alang,Jl. T. Chiek Ditiro Km.6 Indra,5.44528,95.52827
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Lhoknga,Desa Mon Ikeun,5.46645,95.24396
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Leupung,Jl. Banda Aceh.- Meulaboh Km 3,5.36481,95.25
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Darussalam,"Jl. Lambaro Angan, Desa Lambad",5.58298,95.39788
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Baitussalam (Kajhu),Jl. Laksamana Malahayati Km 10,5.60846,95.388
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Kuta Baro,Jl. Blang Bintang Lama Km.11 ,5.53475,95.3968
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Ingin Jaya,"Jl. B.Aceh - Medan Km. 8,5 ",5.5156,95.35697
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Krueng Barona Jaya,"Jl. T. Iskandar Km.6,5 Cot Iri",5.53652,95.36997
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Lhoong,Jl. B.Aceh - Meulaboh Km.52,5.22803,95.27
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Mesjid Raya,Jl.Laksamana Malahayati,5.59348,95.51225
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Suka Makmur,"Jl. B.Aceh - Medan Km.16,5 Sib",5.46496,95.38349
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Darul Imarah,Jl. Tgk.Fakinah Lampeneurut,5.51335,95.32654
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Darul Kamal,Jl. T. Fakinah Km 9 Peukan Bil,5.47771,95.3382
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Blang Bintang,"Jl. Sultan Iskandar Muda , Ds.",5.51735,95.4132
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Montasik,Jl. Ayahanda Tgk Syekh Ibrahim,5.46044,95.423728
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Seulimeum,Jl. B.Aceh - Medan Km.42 Ds. S,5.36928,95.5673
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Kota Jantho,Jl. Teureubeh Kota Jantho,5.30335,95.59
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Lembah Seulawah (Saree),Gampong Saree Aceh ,5.44935,95.7191
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Lamteuba,Ds. Lamteuba Droe,5.50438,95.6
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Indrapuri,Jl. Pasar Indrapuri - Montasik,5.4162,95.44744
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Kuta Malaka,"Jl. B.Aceh - Medan Km. 19,5 Sa",5.43874,95.4
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Simpang Tiga (Aceh Besar),Jl. T.Fakinah Ds. Krueng Mak,5.47092,95.35
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Kuta Cot Glie,"Jl. B.Aceh - Medan Km.33,5",5.38508,95.5232
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Peukan Bada,Jl. Mesjid Tgk Chik Maharaja G,5.53222,95.27431
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Lampisang,Jl. B.Aceh - Meulaboh Ds. Lamp,5.51373,95.272
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Puskesmas,Pulo Aceh,Ds. Lampuyang Pulau Breuh,5.671632,95.128868
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Klinik Pratama,Sikes Lanud Iskandarmuda,Jl. Bueng Pageu,5.50873,95.42179
Nanggroe Aceh Darussalam,Kab. Aceh Besar,Klinik Pratama,Klinik Polres Aceh Besar,"Jl. Ibrahim Saidi No. 1, Kota",5.30335,95.59
